model,component,estimator,term,term_clean,estimate,std_error,statistic,p_value,conf_low,conf_high,stars
Mean Brier loss,Selection equation,Probit,gics_sector_groupUtilities,Sector: Utilities,-0.968068224457045,0.23391131619468883,-4.138612189464589,3.494130006952677e-5,-1.4265259797749956,-0.5096104691390944,***
Brier loss at 1d,Selection equation,Probit,(Intercept),Constant,-5.801911540629158,0.4790294675950709,-12.111805083217929,9.14589950371662e-34,-6.740792044648893,-4.8630310366094225,***
Brier loss at 1d,Selection equation,Probit,log_market_cap,log(Market cap),0.23733007686059393,0.021187729903363737,11.201298012719887,4.0180266386131054e-29,0.1958028893358387,0.2788572643853492,***
Brier loss at 1d,Selection equation,Probit,analysts,Analysts covering,0.02256296605991443,0.003662597053155855,6.160373563472724,7.257353967965829e-10,0.015384407745846424,0.02974152437398244,***
Brier loss at 1d,Selection equation,Probit,log_turnover,log(6m avg. daily turnover + 1),-0.10548030880253777,0.025046471112462318,-4.211384044040207,2.538108277966111e-5,-0.15457049012278676,-0.05639012748228878,***
Brier loss at 1d,Selection equation,Probit,log_volatility_6m,log(6m stock volatility + 1),8.416102291503584,1.4951207886074946,5.629045061531156,1.8121005683983177e-8,5.485719393295772,11.346485189711396,***
Brier loss at 1d,Selection equation,Probit,release_timing_groupduring_market,Release timing: during_market,0.3225855828034179,0.22795031477552946,1.415157435167743,0.15702234134782858,-0.12418882442118823,0.7693599900280241,
Brier loss at 1d,Selection equation,Probit,release_timing_groupafter_close,Release timing: after_close,0.2428636645448884,0.2283923614391402,1.0633615897421524,0.28761800450088437,-0.20477713821988097,0.6905044673096578,
Brier loss at 1d,Selection equation,Probit,release_timing_groupunknown,Release timing: unknown,-3.755212251023123,0.32180614834722804,-11.669174968562931,1.8319115099665162e-31,-4.385940711787244,-3.1244837902590024,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupConsumer Discretionary,Sector: Consumer Discretionary,0.015568439294041954,0.11306787144686141,0.13769109734553253,0.8904845556694786,-0.20604051655041108,0.23717739513849498,
Brier loss at 1d,Selection equation,Probit,gics_sector_groupConsumer Staples,Sector: Consumer Staples,-0.052315700222945426,0.13438375098815877,-0.38930078851240896,0.6970536530761998,-0.31570301226713543,0.2110716118212446,
Brier loss at 1d,Selection equation,Probit,gics_sector_groupEnergy,Sector: Energy,-0.6111270916380619,0.14738991936533832,-4.146328963809587,3.378483357743736e-5,-0.9000060252783876,-0.3222481579977362,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupFinancials,Sector: Financials,-0.3449693585714491,0.11116048043838198,-3.1033453364990726,0.0019134621936812105,-0.5628398967348469,-0.1270988204080513,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupHealth Care,Sector: Health Care,-0.8876169752182738,0.1244243727834336,-7.133787017461702,9.76443843288806e-13,-1.1314842646727894,-0.6437496857637582,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupIndustrials,Sector: Industrials,-0.7202649621349747,0.12112196056835502,-5.946609176033723,2.737539720577897e-9,-0.957659642585831,-0.4828702816841184,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupInformation Technology,Sector: Information Technology,-0.5245758204285391,0.11784614158950037,-4.451361863469587,8.53274142675183e-6,-0.7555500136609676,-0.29360162719611066,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupMaterials,Sector: Materials,-1.1776595357198456,0.21496344998315464,-5.478417544062172,4.2914648752082894e-8,-1.598980155679306,-0.7563389157603853,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupReal Estate,Sector: Real Estate,-0.8223349727741618,0.19658865617494387,-4.183023521165776,2.8765761732829712e-5,-1.2076416586461793,-0.4370282869021442,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupUnknown,Sector: Unknown,-3.658310155339655,0.2509578786240578,-14.577387151171733,3.912050936058643e-48,-4.150178559079382,-3.166441751599928,***
Brier loss at 1d,Selection equation,Probit,gics_sector_groupUtilities,Sector: Utilities,-0.9646334403858692,0.2337009599919241,-4.127640042296803,3.665052299782569e-5,-1.4226789051224764,-0.506587975649262,***
