market_id,ric,ticker,slug,event_datetime_utc,event_date,event_quarter,n_rows_selected_horizons,n_snapshots_ok,any_ok_snapshot,loss_mean,loss_target,volume_num,market_cap_usd_asof,analysts_covering_asof,turnover_6m_avg_daily_volume,volatility_6m,selected_mean,selected_target,log_market_cap,analysts,log_turnover,log_volatility_6m,log_volume,approx_event_key,market_row_id,n_candidates_total,n_candidates_accepted,closest_candidate_time_diff_hours,matched_event_key,matched_universe_ric,matched_universe_ticker,matched_event_date,matched_event_datetime_utc,match_tier,match_rule,identifier_method,match_time_diff_hours,quarter_consistent,match_status,unmatched_reason
1125126,TFC,TFC,tfc-quarterly-earnings-nongaap-eps-01-21-2026-1pt1,2026-01-21T13:30:00Z,2026-01-21,NA,9,9,1,0.20668888888888867,0.07840000000000001,60301.467645,63110875300,23,7784844.873015873,0.012871900740781,1,1,24.8681589418807,23,15.867689565111528,0.012789761930594156,11.007128304680615,TFC__2026-01-21,22,2,1,0,TFC__2026-01-21,TFC,TFC,2026-01-21,2026-01-21T13:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1125566,UNTY.N,UNTY,unty-quarterly-earnings-gaap-eps-01-21-2026-1pt36,2026-01-13T11:00:00Z,2026-01-13,NA,9,8,1,0.032437499999999626,0.039999999999999,16754.322297,526849960,3,538.032,0.023059431021187,1,1,20.08242636008687,3,6.289774938348942,0.022797580121919563,9.726471235856293,UNTY.N__2026-01-13,23,2,1,0,UNTY.N__2026-01-13,UNTY.N,UNTY,2026-01-13,2026-01-13T11:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1125598,BLK,BLK,blk-quarterly-earnings-nongaap-eps-01-15-2026-12pt64,2026-01-15T11:00:00Z,2026-01-15,NA,9,9,1,0.08868611111111079,0.087025,22681.523845,169043121391.86,17,609620.75,0.014548703726685,1,1,25.85341967548754,17,13.320593961851946,0.014443886747653036,10.029350032294197,BLK__2026-01-15,24,2,1,0,BLK__2026-01-15,BLK,BLK,2026-01-15,2026-01-15T11:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1125627,SCHW.N,SCHW,schw-quarterly-earnings-nongaap-eps-01-21-2026-1pt36,2026-01-21T12:30:00Z,2026-01-21,NA,9,9,1,0.020974999999999442,0.011024999999999,28083.551227,184481575461.4,20,2292984.3333333335,0.012950767507002,1,1,25.94081543344262,20,14.645365165541056,0.012867623401390174,10.242974925739702,SCHW.N__2026-01-21,25,4,2,0,SCHW.N__2026-01-21,SCHW.N,SCHW,2026-01-21,2026-01-21T12:30:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1125915,JNJ,JNJ,jnj-quarterly-earnings-nongaap-eps-01-21-2026-2pt51,2026-01-21T11:20:00Z,2026-01-21,NA,9,9,1,0.4850861111111109,0.7482249999999999,35829.907273,526816467003.32,26,8516679.07142857,0.00971947496773,1,1,26.990118064875443,26,15.957537159889286,0.00967254471746884,10.486566131580423,JNJ__2026-01-21,26,2,1,0,JNJ__2026-01-21,JNJ,JNJ,2026-01-21,2026-01-21T11:20:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1126021,CFG,CFG,cfg-quarterly-earnings-nongaap-eps-01-21-2026-1pt11,2026-01-21T11:20:00Z,2026-01-21,NA,9,9,1,0.08541388888888855,0.0625,9429.74613,26106509022.68,21,4456710.404761905,0.015487546634255,1,1,23.985450508025227,21,15.30992169882528,0.0153688386782775,9.151730495509108,CFG__2026-01-21,27,2,1,0,CFG__2026-01-21,CFG,CFG,2026-01-21,2026-01-21T11:20:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1126184,HAL,HAL,hal-quarterly-earnings-nongaap-eps-01-21-2026-0pt54,2026-01-21T11:45:00Z,2026-01-21,NA,9,9,1,0.08100277777777745,0.055224999999999,13313.67271,27411778687.7,27,12669574.904761905,0.02370846963929,1,1,24.03423863708202,27,16.354714079342624,0.023431788465374886,9.496621917397672,HAL__2026-01-21,28,2,1,0,HAL__2026-01-21,HAL,HAL,2026-01-21,2026-01-21T11:45:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1126201,ALLY.N,ALLY,ally-quarterly-earnings-nongaap-eps-01-21-2026-1pt04,2026-01-21T12:25:00Z,2026-01-21,NA,9,9,1,0.08216111111111056,0.046224999999999,10804.856726,13453379730,20,995602.5238095238,0.017411791110275,1,1,23.32249619246936,20,13.811104388852119,0.017261942793149635,9.287843555570971,ALLY.N__2026-01-21,29,4,2,0,ALLY.N__2026-01-21,ALLY.N,ALLY,2026-01-21,2026-01-21T12:25:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1139368,AAL.N,AAL,aal-quarterly-earnings-nongaap-eps-01-22-2026-0pt4,2026-01-27T12:00:02Z,2026-01-27,NA,9,9,1,0.3983863055555553,0.30525625,34675.278367,9686616843.6,26,989750.544,0.027537059767917,1,1,22.994011062938526,26,13.805209224957057,0.02716473463847068,10.453811111612325,AAL.N__2026-01-27,30,2,1,0,AAL.N__2026-01-27,AAL.N,AAL,2026-01-27,2026-01-27T12:00:02Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1139580,PG,PG,pg-quarterly-earnings-nongaap-eps-01-22-2026-1pt87,2026-01-22T12:00:01Z,2026-01-22,NA,9,9,1,0.02174513888888822,0.006399999999999,33602.31168,341628100695,26,8554182.637795275,0.010448222351558,1,1,26.5569885574652,26,15.96193103559973,0.010394016916441024,10.422379902999152,PG__2026-01-22,31,2,1,0,PG__2026-01-22,PG,PG,2026-01-22,2026-01-22T12:00:01Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
1139906,COF,COF,cof-quarterly-earnings-nongaap-eps-01-22-2026-4pt17,2026-01-22T21:00:00Z,2026-01-22,NA,9,9,1,0.5854444444444442,0.7832250000000001,24846.128033,142972872000,26,3857865.118110236,0.018340511192833,1,1,25.685920742916096,26,15.165624769437747,0.01817435256514067,10.120497452733128,COF__2026-01-22,32,2,1,0,COF__2026-01-22,COF,COF,2026-01-22,2026-01-22T21:00:00Z,1,exact_ric_plus_event_date,ric_exact,0,TRUE,matched,NA
