signal_bin,signal_bin_id,event_day,n,n_from_0,mean_abnormal_ret,sd_abnormal_ret,mean_caar_from_m5,sd_caar_from_m5,mean_caar_from_0,sd_caar_from_0,se_caar_from_m5,ci_low,ci_high,se_caar_from_0,ci_low_from_0,ci_high_from_0
Q3,3,-2,128,128,-3.4169140312671016e-4,0.022679839556411247,0.0032594499480735864,0.041629344781551024,0,0,0.0036795489989234426,-0.003952466089816361,0.010471365985963535,0,0,0
Q3,3,-1,128,128,0.0030284973218872163,0.024756968056857065,0.006287947269960802,0.050331912896367466,0,0,0.00444875461488901,-0.002431611775221656,0.01500750631514326,0,0,0
Q3,3,0,128,128,0.00930014517229224,0.0872772701845269,0.015588092442253043,0.10769302856282027,0.00930014517229224,0.0872772701845269,0.009518808847910846,-0.0030687728996522164,0.0342449577841583,0.007714293698866181,-0.005819870477485474,0.024420160822069957
Q3,3,1,128,128,0.001168959292734358,0.03169164972165034,0.0167570517349874,0.12314817586668632,0.010469104465026599,0.10204723624973769,0.010884863780760928,-0.004577281275304018,0.03809138474527882,0.009019786594191897,-0.007209677259589519,0.028147886189642715
Q3,3,2,128,128,7.695104111043152e-4,0.027160792642173817,0.017526562146091718,0.1266454716397781,0.011238614876130914,0.10699354222624434,0.01119398397538196,-0.004413646445656925,0.039466770737840356,0.009456982406418324,-0.007297070640449,0.029774300392710826
Q3,3,3,128,128,0.001398902145303968,0.02425917662946271,0.018925464291395685,0.12777310911462614,0.012637517021434883,0.10732572073538049,0.0112936539885301,-0.00321009752612331,0.04106102610891468,0.00948634311596515,-0.00595571548585681,0.031230749528726575
Q3,3,4,128,128,-0.0029329067705109305,0.022752260048626356,0.015992557520884753,0.1329870812906954,0.00970461025092395,0.11090148301373878,0.011754508373857168,-0.007046278891875295,0.0390313939336448,0.009802398835332425,-0.009508091466327601,0.028917311968175503
Q3,3,5,128,128,3.7352866691090555e-4,0.024289529537769857,0.01636608618779566,0.13550694393906146,0.010078138917834857,0.11393899487110423,0.01197723486964696,-0.007109294156712381,0.0398414665323037,0.010070879489367131,-0.00966078488132472,0.029817062716994434
Q4,4,-5,128,128,-0.002542203108435454,0.02914064118015983,0,0,0,0,0,0,0,0,0,0
Q4,4,-4,128,128,1.985221461758433e-4,0.027401746743288366,1.9852214617584323e-4,0.027401746743288366,0,0,0.0024219951173169497,-0.004548588283765378,0.004945632576117065,0,0,0
Q4,4,-3,128,128,-0.0014473858914040186,0.026895506406911192,-0.0012488637452281754,0.040390969186717834,0,0,0.0035700910263281337,-0.008246242156831316,0.005748514666374966,0,0,0
Q4,4,-2,128,128,5.9209305472761176e-5,0.02223702014543845,-0.0011896544397554142,0.04574958494985487,0,0,0.004043730219314049,-0.00911536566961095,0.006736056790100121,0,0,0
Q4,4,-1,128,128,-7.206980359175338e-4,0.02960817455021577,-0.0019103524756729487,0.052667776907148495,0,0,0.004655217775133119,-0.011034579314933863,0.007213874363587965,0,0,0
Q4,4,0,128,128,0.00683711373274229,0.0955848082691133,0.004926761257069343,0.10120936814090492,0.00683711373274229,0.0955848082691133,0.008945728816504949,-0.012606867223280357,0.022460389737419043,0.008448583263188248,-0.009722109463106678,0.023396336928591256
Q4,4,1,128,128,1.1713894417560044e-4,0.032845220871802666,0.005043900201244943,0.1136683572932392,0.006954252676917892,0.10832711787853035,0.010046958281048098,-0.014648138029609329,0.024735938432099216,0.009574854954787911,-0.011812463034466415,0.025720968388302196
Q4,4,2,128,128,-0.002752332956241801,0.025203424937035736,0.0022915672450031415,0.1172428279431689,0.004201919720676089,0.11229293344606663,0.010362899835512796,-0.01801971643260194,0.02260285092260822,0.009925386839880422,-0.015251838485489538,0.023655677926841718
Q4,4,3,128,128,0.0017580867431420007,0.032715334586485983,0.004049653988145143,0.12352796083370807,0.00596000646381809,0.11834649978169742,0.010918432346457651,-0.017350473410911855,0.02544978138720214,0.010460451565666313,-0.014542478604887882,0.026462491532524064
Q4,4,4,128,128,-0.0014904230210342955,0.025732175040857834,0.002559230967110847,0.12249150159096552,0.004469583442783794,0.1155257309426611,0.010826821426586811,-0.018661339028999302,0.023779800963221,0.010211128468886027,-0.015544228356232818,0.024483395241800408
Q4,4,5,128,128,-3.6315954856925767e-4,0.021501330176133534,0.0021960714185415885,0.12452562731557774,0.004106423894214536,0.11577369831695995,0.011006614438294223,-0.01937689288051509,0.023769035717598266,0.010233045895370996,-0.015950346060712613,0.024163193849141687
Q5,5,-5,127,127,0.001969129486495427,0.022022104997457784,0,0,0,0,0,0,0,0,0,0
Q5,5,-4,127,127,6.716246257075423e-4,0.021378399422188096,6.716246257075425e-4,0.021378399422188096,0,0,0.0018970261888176295,-0.0030465467043750112,0.0043897959557900965,0,0,0
Q5,5,-3,127,127,-3.5236924214349655e-4,0.018450361804357145,3.1925538356404576e-4,0.027674648727983052,0,0,0.0024557279694580134,-0.00449397143657366,0.005132482203701752,0,0,0
Q5,5,-2,127,127,0.001380896187477965,0.018626182374778148,0.0017001515710420106,0.03504806475912029,0,0,0.003110012840644289,-0.004395473596620797,0.007795776738704817,0,0,0
Q5,5,-1,127,127,0.00212190350728475,0.023777446948912987,0.003822055078326761,0.04253907822868613,0,0,0.003774732797078592,-0.0035764212039472794,0.011220531360600802,0,0,0
Q5,5,0,127,127,0.006071177982427383,0.08575718119978455,0.009893233060754143,0.09667467644342935,0.006071177982427383,0.08575718119978455,0.008578490343777367,-0.006920608013049497,0.026707074134557782,0.0076097192966806,-0.008843871839066594,0.02098622780392136
Q5,5,1,127,127,-0.002034543272054872,0.03035981813422114,0.007858689788699273,0.10509760635901066,0.004036634710372511,0.09421389431166297,0.009325904512672047,-0.01042008305613794,0.026137462633536487,0.008360131239489591,-0.012349222519027085,0.02042249193977211
Q5,5,2,127,127,0.001447495576590637,0.026759534096174865,0.00930618536528991,0.1045885180874262,0.005484130286963147,0.09408165225735254,0.00928073023350626,-0.00888404589238236,0.027496416622962178,0.0083483966547185,-0.010878727156285111,0.021846987730211407
Q5,5,3,127,127,-8.032025736417433e-4,0.020459463278057026,0.008502982791648166,0.11015024436790477,0.004680927713321405,0.09832561920500422,0.009774253635363593,-0.010654554333664478,0.02766051991696081,0.008724987824393056,-0.012420048422488983,0.02178190384913179
Q5,5,4,127,127,8.162584863446785e-4,0.023074220573827797,0.009319241277992843,0.11578956218927312,0.005497186199666083,0.10446765430316485,0.010274662173109343,-0.010819096581301469,0.029457579137287155,0.009270005306934562,-0.012672024201925657,0.023666396601257824
Q5,5,5,127,127,5.810939227844646e-4,0.024530803958140897,0.009900335200777308,0.11294965744071138,0.006078280122450547,0.10369646958490474,0.010022661376633544,-0.009744081097424438,0.029544751498979054,0.009201573728963528,-0.011956804386317965,0.02411336463121906
