market_id,ticker,slug,ric,release_dt_utc,release_dt_ny,release_date_ny,release_timing,asof_date,snapshot_dt_utc_parsed,signal_value,id,resolvedOutcome,umaEndDate,acceptingOrdersTimestamp,volumeNum,val_eikon_eps_stddev_estimate,val_surprise,earnings_release_datetime,market_cap_usd_asof,analysts_covering_asof,gics_sector,turnover_6m_sum_volume,turnover_6m_avg_daily_volume,volatility_6m,horizon,horizon_seconds,p_hist_asof_end_minus_1d,snapshot_dt_utc,p_polymarket_yes,p_dice_0p5,loss_polymarket,loss_dice,loss_hist,seconds_before_close,status,purchase_date,event_trading_date,signal_cutoff_utc,snapshot_date_ny,observed_before_cutoff,same_day_signal,signal_bin,signal_bin_id
619853,PENG,peng-quarterly-earnings-nongaap-eps-2025-10-07-0pt37,PENG.N,2025-10-07T20:00:00Z,2025-10-07T20:00:00Z,2025-10-07,after_close,2025-10-06,2025-10-07T10:10:04Z,0.865,619853,Yes,2025-10-08T10:14:10Z,2025-10-03T20:47:58Z,6272.205259,0.03619,0.06,2025-10-07T20:00:00Z,1535352640.2,8,Information Technology,1829342,14518.587301587302,0.028558154356399,1d,86400,0.9375,2025-10-07T10:10:04Z,0.865,0.5,0.01822499999999999,0.25,0.00390625,86646,ok,2025-10-07,2025-10-08,2025-10-07T20:00:00Z,2025-10-07,TRUE,TRUE,0.8-1.0,5
619857,AZZ,azz-quarterly-earnings-nongaap-eps-2025-10-08-1pt57,AZZ,2025-10-08T20:00:00Z,2025-10-08T20:00:00Z,2025-10-08,after_close,2025-10-06,2025-10-08T17:15:10Z,0.92,619857,No,2025-10-08T23:19:39Z,2025-10-03T20:48:38Z,7149.079433,0.03919,-0.019999999999999,2025-10-08T20:00:00Z,3214304349.08,11,Industrials,32907611,261171.5158730159,0.01956346856386,6h,21600,0.9411764705882352,2025-10-08T17:15:10Z,0.92,0.5,0.8464,0.25,0.885813148788927,21869,ok,2025-10-08,2025-10-09,2025-10-08T20:00:00Z,2025-10-08,TRUE,TRUE,0.8-1.0,5
619983,RGP,rgp-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt10,RGP.N,2025-10-08T20:05:00Z,2025-10-08T20:05:00Z,2025-10-08,after_close,2025-10-06,2025-10-08T17:25:05Z,0.93,619983,Yes,2025-10-08T23:25:37Z,2025-10-03T21:51:17Z,4974.09297,0.07409,0.13,2025-10-08T20:05:00Z,164281230.48,4,Industrials,617483,4900.658730158731,0.029594179081754,6h,21600,0.9411764705882352,2025-10-08T17:25:05Z,0.93,0.5,0.004899999999999,0.25,0.003460207612456,21632,ok,2025-10-08,2025-10-09,2025-10-08T20:00:00Z,2025-10-08,TRUE,TRUE,0.8-1.0,5
619984,APLD,apld-quarterly-earnings-nongaap-eps-2025-10-09-neg0pt16,APLD.N,2025-10-09T20:05:00Z,2025-10-09T20:05:00Z,2025-10-09,after_close,2025-10-09,2025-10-09T01:15:07Z,0.87,619984,Yes,2025-10-11T01:16:30Z,2025-10-03T21:51:57Z,9270.325321,0.07487,0.09,2025-10-09T20:05:00Z,8191999278.75,10,Information Technology,84223691,663178.6692913385,0.08251165808748201,2d,172800,0.916666666666666,2025-10-09T01:15:07Z,0.87,0.5,0.0169,0.25,0.006944444444444,172883,ok,2025-10-09,2025-10-10,2025-10-09T20:00:00Z,2025-10-09,TRUE,TRUE,0.8-1.0,5
620021,HELE,hele-quarterly-earnings-nongaap-eps-2025-10-09-0pt52,HELE.N,2025-10-09T10:45:00Z,2025-10-09T10:45:00Z,2025-10-09,before_open,2025-10-09,2025-10-08T04:05:06Z,0.33,620021,Yes,2025-10-11T04:07:36Z,2025-10-03T21:21:17Z,63372.762324,0.04317000000000001,0.06999999999999901,2025-10-09T10:45:00Z,476926841.49,5,Consumer Discretionary,1434369,11294.24409448819,0.05551365796907,3d,259200,0.916666666666666,2025-10-08T04:05:06Z,0.33,0.5,0.448899999999999,0.25,0.006944444444444,259350,ok,2025-10-08,2025-10-09,2025-10-08T20:00:00Z,2025-10-08,TRUE,TRUE,0.2-0.4,2
620023,NEOG,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,NEOG.N,2025-10-09T11:00:00Z,2025-10-09T11:00:00Z,2025-10-09,before_open,2025-10-09,2025-10-08T19:35:03Z,0.225,620023,No,2025-10-11T19:39:58Z,2025-10-03T21:48:39Z,18819.863416,0.04648,0,2025-10-09T11:00:00Z,1473284684.28,5,Health Care,18189839,143227.07874015748,0.042919192073226,3d,259200,0.916666666666666,2025-10-08T19:35:03Z,0.225,0.5,0.05062499999999999,0.25,0.840277777777777,259495,ok,2025-10-08,2025-10-09,2025-10-08T20:00:00Z,2025-10-08,TRUE,TRUE,0.2-0.4,2
620032,NRIX,nrix-quarterly-earnings-gaap-eps-2025-10-9-neg0pt85,NRIX.N,2025-10-09T20:01:00Z,2025-10-09T20:01:00Z,2025-10-09,after_close,2025-10-09,2025-10-09T19:30:06Z,0.805,620032,No,2025-10-11T19:33:44Z,2025-10-03T21:47:39Z,4947.955613,0.12385000000000002,-0.18000000000000002,2025-10-09T20:01:00Z,834954114.959999,18,Health Care,1628984,12826.645669291338,0.038936007872174,2d,172800,0.916666666666666,2025-10-09T19:30:06Z,0.805,0.5,0.6480250000000001,0.25,0.840277777777777,173018,ok,2025-10-09,2025-10-10,2025-10-09T20:00:00Z,2025-10-09,TRUE,TRUE,0.8-1.0,5
620052,SFBS,sfbs-quarterly-earnings-nongaap-eps-2025-10-20-1pt34,SFBS.N,2025-10-20T20:00:00Z,2025-10-20T20:00:00Z,2025-10-20,after_close,2025-10-19,2025-10-20T12:00:09Z,0.78,620052,No,2025-10-21T00:20:32Z,2025-10-03T21:23:59Z,30151.521357,0.06683,-0.04,2025-10-20T20:00:00Z,4108078577.61,3,Financials,11203986,88920.52380952382,0.018143898839658,12h,43200,0.807692307692307,2025-10-20T12:00:09Z,0.78,0.5,0.6084,0.25,0.6523668639053251,44423,ok,2025-10-20,2025-10-21,2025-10-20T20:00:00Z,2025-10-20,TRUE,TRUE,0.6-0.8,4
620069,GBCI,gbci-quarterly-earnings-gaap-eps-2025-10-16-0pt61,GBCI.N,2025-10-16T20:05:01Z,2025-10-16T20:05:01Z,2025-10-16,after_close,2025-10-15,2025-10-16T12:05:06Z,0.785,620069,No,2025-10-17T12:14:56Z,2025-10-03T21:28:19Z,39335.776905,0.02209,-0.04,2025-10-16T20:05:01Z,6237753533.48,6,Financials,36315266,285946.9763779527,0.019070933632429,1d,86400,0.8095238095238091,2025-10-16T12:05:06Z,0.785,0.5,0.616225,0.25,0.655328798185941,86990,ok,2025-10-16,2025-10-17,2025-10-16T20:00:00Z,2025-10-16,TRUE,TRUE,0.6-0.8,4
627454,CB,cb-quarterly-earnings-nongaap-eps-10-21-2025-5pt78,CB,2025-10-21T20:10:00Z,2025-10-21T20:10:00Z,2025-10-21,after_close,2025-10-20,2025-10-21T18:10:11Z,0.77,627454,Yes,2025-10-22T00:15:21Z,2025-10-08T15:59:40Z,9549.515576,0.4626900000000001,1.71,2025-10-21T20:10:00Z,105757814271.6,26,Financials,222230246,1749844.4566929133,0.011370696679176,6h,21600,0.807692307692307,2025-10-21T18:10:11Z,0.77,0.5,0.052899999999999,0.25,0.03698224852071,21910,ok,2025-10-21,2025-10-22,2025-10-21T20:00:00Z,2025-10-21,TRUE,TRUE,0.6-0.8,4
627582,KO,ko-quarterly-earnings-nongaap-eps-10-21-2025-0pt78,KO,2025-10-21T10:55:00Z,2025-10-21T10:55:00Z,2025-10-21,before_open,2025-10-19,2025-10-20T14:40:03Z,0.8,627582,Yes,2025-10-21T14:43:43Z,2025-10-08T16:16:56Z,53051.390997,0.00911,0.039999999999999,2025-10-21T10:55:00Z,294428880000,26,Consumer Staples,1967339216,15613803.301587302,0.009027083607946,1d,86400,0.807692307692307,2025-10-20T14:40:03Z,0.8,0.5,0.039999999999999,0.25,0.03698224852071,86620,ok,2025-10-20,2025-10-21,2025-10-20T20:00:00Z,2025-10-20,TRUE,TRUE,0.8-1.0,5
