market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
667914,GETY,gety-quarterly-earnings-gaap-eps-11-10-2025-0pt04,GETY.N,0.0-0.2,1,0.165,2025-11-10T21:07:00Z,2025-11-10,2025-11-11,2,-0.0375376038017781,"CAR[0,1]",0,1
667914,GETY,gety-quarterly-earnings-gaap-eps-11-10-2025-0pt04,GETY.N,0.0-0.2,1,0.165,2025-11-10T21:07:00Z,2025-11-10,2025-11-11,4,-0.11485394138298145,"CAR[0,3]",0,3
667914,GETY,gety-quarterly-earnings-gaap-eps-11-10-2025-0pt04,GETY.N,0.0-0.2,1,0.165,2025-11-10T21:07:00Z,2025-11-10,2025-11-11,6,-0.10659726882173912,"CAR[0,5]",0,5
668474,PLBY,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,PLBY.OQ,0.0-0.2,1,0.155,2025-11-12T21:08:09Z,2025-11-12,2025-11-13,11,0.24463192103788564,"CAR[-5,5]",-5,5
668474,PLBY,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,PLBY.OQ,0.0-0.2,1,0.155,2025-11-12T21:08:09Z,2025-11-12,2025-11-13,1,0.23560412903396605,AR[0],0,0
668474,PLBY,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,PLBY.OQ,0.0-0.2,1,0.155,2025-11-12T21:08:09Z,2025-11-12,2025-11-13,2,0.24697014929059447,"CAR[0,1]",0,1
668474,PLBY,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,PLBY.OQ,0.0-0.2,1,0.155,2025-11-12T21:08:09Z,2025-11-12,2025-11-13,4,0.2691515757386944,"CAR[0,3]",0,3
668474,PLBY,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,PLBY.OQ,0.0-0.2,1,0.155,2025-11-12T21:08:09Z,2025-11-12,2025-11-13,6,0.25635241066211784,"CAR[0,5]",0,5
668521,QUBT,qubt-quarterly-earnings-gaap-eps-11-14-2025-neg0pt06,QUBT.N,0.0-0.2,1,0.17500000000000002,2025-11-14T21:05:00Z,2025-11-14,2025-11-17,11,-0.1987461695331395,"CAR[-5,5]",-5,5
668521,QUBT,qubt-quarterly-earnings-gaap-eps-11-14-2025-neg0pt06,QUBT.N,0.0-0.2,1,0.17500000000000002,2025-11-14T21:05:00Z,2025-11-14,2025-11-17,1,0.09094872771967925,AR[0],0,0
