id     , ric    , ticker, horizon, horizon_seconds, loss_polymarket        , log_poly_volume  , market_open_days  , log_mcap        , log_analysts     , log_turnover    , stock_volatility_6m, abs_surprise                      , eps_dispersion, gics_sector           , event_month, umaEndDate
 614619, CCL    , CCL   , 6h     ,           21600, 0.0000202499999999995  ,  9.4012411792805 ,  3.1330787037037  , 24.4060704967609, 3.3322045101752  , 21.7715342431998,   0.031626245573149,   0.109999999999999               ,        0.03075, Consumer Discretionary, 2025-09    , 2025-09-29T22:45:27Z
 613037, NKE    , NKE   , 4d     ,          345600, 0.034225               , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 613037, NKE    , NKE   , 3d     ,          259200, 0.038024999999999      , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 613037, NKE    , NKE   , 2d     ,          172800, 0.034225               , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 613037, NKE    , NKE   , 1d     ,           86400, 0.042024999999999      , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 613037, NKE    , NKE   , 12h    ,           43200, 0.034225               , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 613037, NKE    , NKE   , 6h     ,           21600, 0.007224999999999      , 11.9780084182292 ,  4.34842592592593 , 25.3526810863119, 3.63758615972639 , 21.4548240515156,   0.029497947634059,   0.219999999999999               ,        0.0393 , Consumer Discretionary, 2025-09    , 2025-09-30T22:32:59Z
 614632, LW     , LW    , 3d     ,          259200, 0.099224999999999      ,  8.77719916314223,  3.80342592592593 , 22.7638423151501, 2.56494935746154 , 19.3509283045909,   0.026168848192407,   0.209999999999999               ,        0.08916, Consumer Staples      , 2025-09    , 2025-09-30T14:51:47Z
 614632, LW     , LW    , 2d     ,          172800, 0.102399999999999      ,  8.77719916314223,  3.80342592592593 , 22.7638423151501, 2.56494935746154 , 19.3509283045909,   0.026168848192407,   0.209999999999999               ,        0.08916, Consumer Staples      , 2025-09    , 2025-09-30T14:51:47Z
 614632, LW     , LW    , 1d     ,           86400, 0.099224999999999      ,  8.77719916314223,  3.80342592592593 , 22.7638423151501, 2.56494935746154 , 19.3509283045909,   0.026168848192407,   0.209999999999999               ,        0.08916, Consumer Staples      , 2025-09    , 2025-09-30T14:51:47Z
