market_id,slug,run_id,generated_utc,bucket,snapshot_target_ts,snapshot_target_utc,snapshot_source_ts_yes,snapshot_source_utc_yes,yes_price_decimal,yes_price_pct
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,7d,1760571914,2025-10-15 23:45:14Z,1760571607,2025-10-15 23:40:07Z,0.805,80.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,6d,1760658314,2025-10-16 23:45:14Z,1760658307,2025-10-16 23:45:07Z,0.79,79.0
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,5d,1760744714,2025-10-17 23:45:14Z,1760744704,2025-10-17 23:45:04Z,0.85,85.0
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,4d,1760831114,2025-10-18 23:45:14Z,1760831111,2025-10-18 23:45:11Z,0.845,84.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,3d,1760917514,2025-10-19 23:45:14Z,1760917507,2025-10-19 23:45:07Z,0.845,84.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,2d,1761003914,2025-10-20 23:45:14Z,1761003904,2025-10-20 23:45:04Z,0.835,83.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,1d,1761090314,2025-10-21 23:45:14Z,1761090306,2025-10-21 23:45:06Z,0.785,78.5
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,12h,1761133514,2025-10-22 11:45:14Z,1761133512,2025-10-22 11:45:12Z,0.72,72.0
627736,ibm-quarterly-earnings-nongaap-eps-10-22-2025-2pt44,20260120T104358Z,2026-01-20 10:45:08Z,6h,1761155114,2025-10-22 17:45:14Z,1761154807,2025-10-22 17:40:07Z,0.85,85.0
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,6d,1760714417,2025-10-17 15:20:17Z,1760714403,2025-10-17 15:20:03Z,0.7,70.0
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,5d,1760800817,2025-10-18 15:20:17Z,1760800809,2025-10-18 15:20:09Z,0.795,79.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,4d,1760887217,2025-10-19 15:20:17Z,1760887211,2025-10-19 15:20:11Z,0.805,80.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,3d,1760973617,2025-10-20 15:20:17Z,1760973612,2025-10-20 15:20:12Z,0.805,80.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,2d,1761060017,2025-10-21 15:20:17Z,1761060003,2025-10-21 15:20:03Z,0.665,66.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,1d,1761146417,2025-10-22 15:20:17Z,1761146406,2025-10-22 15:20:06Z,0.685,68.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,12h,1761189617,2025-10-23 03:20:17Z,1761189606,2025-10-23 03:20:06Z,0.825,82.5
637876,has-quarterly-earnings-nongaap-eps-10-23-2025-1pt63,20260120T104358Z,2026-01-20 10:45:18Z,6h,1761211217,2025-10-23 09:20:17Z,1761211206,2025-10-23 09:20:06Z,0.725,72.5
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,6d,1760738107,2025-10-17 21:55:07Z,1760738103,2025-10-17 21:55:03Z,0.8,80.0
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,5d,1760824507,2025-10-18 21:55:07Z,1760824204,2025-10-18 21:50:04Z,0.805,80.5
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,4d,1760910907,2025-10-19 21:55:07Z,1760910605,2025-10-19 21:50:05Z,0.805,80.5
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,3d,1760997307,2025-10-20 21:55:07Z,1760997304,2025-10-20 21:55:04Z,0.71,71.0
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,2d,1761083707,2025-10-21 21:55:07Z,1761083408,2025-10-21 21:50:08Z,0.695,69.5
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,1d,1761170107,2025-10-22 21:55:07Z,1761170107,2025-10-22 21:55:07Z,0.685,68.5
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,12h,1761213307,2025-10-23 09:55:07Z,1761213304,2025-10-23 09:55:04Z,0.71,71.0
637880,stba-quarterly-earnings-gaap-eps-10-23-2025-0pt86,20260120T104358Z,2026-01-20 10:45:18Z,6h,1761234907,2025-10-23 15:55:07Z,1761234605,2025-10-23 15:50:05Z,0.9995,99.95
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,1w,1761319505,2025-10-24 15:25:05Z,1761319206,2025-10-24 15:20:06Z,0.69,69.0
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,7d,1761319505,2025-10-24 15:25:05Z,1761319206,2025-10-24 15:20:06Z,0.69,69.0
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,6d,1761405905,2025-10-25 15:25:05Z,1761405606,2025-10-25 15:20:06Z,0.73,73.0
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,5d,1761492305,2025-10-26 15:25:05Z,1761492305,2025-10-26 15:25:05Z,0.835,83.5
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,4d,1761578705,2025-10-27 15:25:05Z,1761578705,2025-10-27 15:25:05Z,0.8,80.0
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,3d,1761665105,2025-10-28 15:25:05Z,1761664806,2025-10-28 15:20:06Z,0.795,79.5
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,2d,1761751505,2025-10-29 15:25:05Z,1761751504,2025-10-29 15:25:04Z,0.75,75.0
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,1d,1761837905,2025-10-30 15:25:05Z,1761837904,2025-10-30 15:25:04Z,0.655,65.5
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,12h,1761881105,2025-10-31 03:25:05Z,1761881105,2025-10-31 03:25:05Z,0.755,75.5
642125,pipr-quarterly-earnings-nongaap-eps-10-28-2025-3pt27,20260120T104358Z,2026-01-20 10:45:26Z,6h,1761902705,2025-10-31 09:25:05Z,1761902704,2025-10-31 09:25:04Z,0.755,75.5
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,5d,1761833708,2025-10-30 14:15:08Z,1761833704,2025-10-30 14:15:04Z,0.5,50.0
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,4d,1761920108,2025-10-31 14:15:08Z,1761920105,2025-10-31 14:15:05Z,0.77,77.0
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,3d,1762006508,2025-11-01 14:15:08Z,1762006504,2025-11-01 14:15:04Z,0.805,80.5
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,2d,1762092908,2025-11-02 14:15:08Z,1762092904,2025-11-02 14:15:04Z,0.865,86.5
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,1d,1762179308,2025-11-03 14:15:08Z,1762179304,2025-11-03 14:15:04Z,0.86,86.0
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,12h,1762222508,2025-11-04 02:15:08Z,1762222504,2025-11-04 02:15:04Z,0.715,71.5
656755,mar-quarterly-earnings-nongaap-eps-11-04-2025-2pt39,20260120T104358Z,2026-01-20 10:46:08Z,6h,1762244108,2025-11-04 08:15:08Z,1762244104,2025-11-04 08:15:04Z,0.725,72.5
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,5d,1761837608,2025-10-30 15:20:08Z,1761837606,2025-10-30 15:20:06Z,0.5,50.0
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,4d,1761924008,2025-10-31 15:20:08Z,1761924007,2025-10-31 15:20:07Z,0.18,18.0
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,3d,1762010408,2025-11-01 15:20:08Z,1762010406,2025-11-01 15:20:06Z,0.33,33.0
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,2d,1762096808,2025-11-02 15:20:08Z,1762096806,2025-11-02 15:20:06Z,0.335,33.5
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,1d,1762183208,2025-11-03 15:20:08Z,1762183205,2025-11-03 15:20:05Z,0.635,63.5
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,12h,1762226408,2025-11-04 03:20:08Z,1762226406,2025-11-04 03:20:06Z,0.2,20.0
656783,htz-quarterly-earnings-nongaap-eps-11-04-2025-0pt07,20260120T104358Z,2026-01-20 10:46:09Z,6h,1762248008,2025-11-04 09:20:08Z,1762248006,2025-11-04 09:20:06Z,0.165,16.5
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,6d,1761954606,2025-10-31 23:50:06Z,1761954605,2025-10-31 23:50:05Z,0.5,50.0
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,5d,1762041006,2025-11-01 23:50:06Z,1762041005,2025-11-01 23:50:05Z,0.38,38.0
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,4d,1762127406,2025-11-02 23:50:06Z,1762127404,2025-11-02 23:50:04Z,0.585,58.5
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,3d,1762213806,2025-11-03 23:50:06Z,1762213805,2025-11-03 23:50:05Z,0.635,63.5
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,2d,1762300206,2025-11-04 23:50:06Z,1762300204,2025-11-04 23:50:04Z,0.64,64.0
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,1d,1762386606,2025-11-05 23:50:06Z,1762386604,2025-11-05 23:50:04Z,0.545,54.5
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,12h,1762429806,2025-11-06 11:50:06Z,1762429804,2025-11-06 11:50:04Z,0.61,61.0
658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,20260120T104358Z,2026-01-20 10:46:50Z,6h,1762451406,2025-11-06 17:50:06Z,1762451405,2025-11-06 17:50:05Z,0.74,74.0
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,6d,1762480814,2025-11-07 02:00:14Z,1762480524,2025-11-07 01:55:24Z,0.355,35.5
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,5d,1762567214,2025-11-08 02:00:14Z,1762567210,2025-11-08 02:00:10Z,0.355,35.5
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,4d,1762653614,2025-11-09 02:00:14Z,1762653323,2025-11-09 01:55:23Z,0.335,33.5
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,3d,1762740014,2025-11-10 02:00:14Z,1762739708,2025-11-10 01:55:08Z,0.34,34.0
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,2d,1762826414,2025-11-11 02:00:14Z,1762826113,2025-11-11 01:55:13Z,0.3,30.0
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,1d,1762912814,2025-11-12 02:00:14Z,1762912522,2025-11-12 01:55:22Z,0.145,14.5
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,12h,1762956014,2025-11-12 14:00:14Z,1762955713,2025-11-12 13:55:13Z,0.145,14.5
668474,plby-quarterly-earnings-gaap-eps-11-12-2025-neg0pt02,20260120T104358Z,2026-01-20 10:47:04Z,6h,1762977614,2025-11-12 20:00:14Z,1762977313,2025-11-12 19:55:13Z,0.14,14.0
675514,avr-quarterly-earnings-gaap-eps-11-20-2025-neg0pt54,20260120T104358Z,2026-01-20 10:47:20Z,2d,1762890610,2025-11-11 19:50:10Z,1762890608,2025-11-11 19:50:08Z,0.455,45.5
675514,avr-quarterly-earnings-gaap-eps-11-20-2025-neg0pt54,20260120T104358Z,2026-01-20 10:47:20Z,1d,1762977010,2025-11-12 19:50:10Z,1762977008,2025-11-12 19:50:08Z,0.27,27.0
675514,avr-quarterly-earnings-gaap-eps-11-20-2025-neg0pt54,20260120T104358Z,2026-01-20 10:47:20Z,12h,1763020210,2025-11-13 07:50:10Z,1763020208,2025-11-13 07:50:08Z,0.165,16.5
675514,avr-quarterly-earnings-gaap-eps-11-20-2025-neg0pt54,20260120T104358Z,2026-01-20 10:47:20Z,6h,1763041810,2025-11-13 13:50:10Z,1763041808,2025-11-13 13:50:08Z,0.016,1.6
675603,zm-quarterly-earnings-nongaap-eps-11-24-2025-1pt44,20260120T104358Z,2026-01-20 10:47:24Z,2w,1762829706,2025-11-11 02:55:06Z,1762829704,2025-11-11 02:55:04Z,0.785,78.5
675603,zm-quarterly-earnings-nongaap-eps-11-24-2025-1pt44,20260120T104358Z,2026-01-20 10:47:24Z,1w,1763434506,2025-11-18 02:55:06Z,1763434504,2025-11-18 02:55:04Z,0.905,90.5
675603,zm-quarterly-earnings-nongaap-eps-11-24-2025-1pt44,20260120T104358Z,2026-01-20 10:47:24Z,7d,1763434506,2025-11-18 02:55:06Z,1763434504,2025-11-18 02:55:04Z,0.905,90.5
675603,zm-quarterly-earnings-nongaap-eps-11-24-2025-1pt44,20260120T104358Z,2026-01-20 10:47:24Z,6d,1763520906,2025-11-19 02:55:06Z,1763520905,2025-11-19 02:55:05Z,0.925,92.5
