"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"OLS","Mean loss | Full","log_turnover",0.00567842193433614,0.00369613441879071,1.53631369721505,0.12497742893373,-0.00138817418053346,0.0128945786096052,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Full",-0.00138817418053346,0.0128945786096052,25000,25000,-0.00158020001862707,0.0129370438872993,"Mean loss | Full"
"OLS","Mean loss | Full","log_volatility_6m",-1.05210925093197,0.868316874693221,-1.21166509784079,0.226107456393923,-2.70277148607169,0.640313245012309,"","log(6m stock volatility)","Mean loss across selected horizons","Full",-2.70277148607169,0.640313245012309,25000,25000,-2.75734591568475,0.653127413820807,"Mean loss | Full"
"OLS","Mean loss | Full","open_time_days",-0.00105828046005129,0.00195348383433964,-0.541740065337697,0.588194431593372,-0.00487190984497226,0.00267409552771353,"","Market open-to-resolution (days)","Mean loss across selected horizons","Full",-0.00487190984497226,0.00267409552771353,25000,25000,-0.00489461297344935,0.00277805205334677,"Mean loss | Full"
"OLS","Loss at 6h | Ex-ante","eps_stddev",0.147453826004226,0.108950339472662,1.35340400698087,0.176423015090635,-0.0545061039114987,0.367094420122437,"","Std. dev. of analyst estimates","Loss at 6h","Ex-ante",-0.0545061039114987,0.367094420122437,25000,25000,-0.0665053045865999,0.361412956595053,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Ex-ante","log_market_cap",-0.0149557699422952,0.00768701574127997,-1.9455885672227,0.0521586847244439,-0.0298884489431013,0.000190007006394151,"*","log(Market cap)","Loss at 6h","Ex-ante",-0.0298884489431013,0.000190007006394151,25000,25000,-0.030051704592916,0.000140164708325619,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Ex-ante","analysts",-0.000101388119633254,0.00106891090529472,-0.0948517964696966,0.924463390190674,-0.00218574868347378,0.00199084202645073,"","Analysts covering","Loss at 6h","Ex-ante",-0.00218574868347378,0.00199084202645073,25000,25000,-0.00220053943098184,0.00199776319171533,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Ex-ante","log_turnover",0.00539145084140027,0.00389742124198145,1.38333798341471,0.167062385726344,-0.00228316526082763,0.0129581253704951,"","log(6m avg. daily turnover + 1)","Loss at 6h","Ex-ante",-0.00228316526082763,0.0129581253704951,25000,25000,-0.0022623927768641,0.0130452944596646,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Ex-ante","log_volatility_6m",-0.770616462142273,1.03073136307086,-0.747640451966429,0.454962363630275,-2.72852726781958,1.26471298131176,"","log(6m stock volatility)","Loss at 6h","Ex-ante",-2.72852726781958,1.26471298131176,25000,25000,-2.79478992853772,1.25355700425318,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Ex-ante","open_time_days",-0.00110912160314761,0.00220274434221698,-0.503518080555513,0.614780077377096,-0.00536869596324784,0.00320073901578801,"","Market open-to-resolution (days)","Loss at 6h","Ex-ante",-0.00536869596324784,0.00320073901578801,25000,25000,-0.00543492055573247,0.00321667734943725,"Loss at 6h | Ex-ante"
"OLS","Loss at 6h | Full","log_volume",-0.00548050021516821,0.0333924500579174,-0.164123932375809,0.869687681741538,-0.0701624399799747,0.0578655504430893,"","log(Polymarket volume + 1)","Loss at 6h","Full",-0.0701624399799747,0.0578655504430893,25000,25000,-0.0710579775442879,0.0600969771139514,"Loss at 6h | Full"
"OLS","Loss at 6h | Full","log_volume_per_analyst",0.0134698363432593,0.0298837536837924,0.450741111233449,0.652335534657012,-0.0424196774285177,0.0711258193231388,"","log(Polymarket volume / analysts + 1)","Loss at 6h","Full",-0.0424196774285177,0.0711258193231388,25000,25000,-0.0452171176331306,0.0721567903196492,"Loss at 6h | Full"
