"market_id","n_snapshots","loss_mean","loss_target","volumeNum","volume_per_analyst","val_eikon_eps_stddev_estimate","val_surprise","market_cap_usd_asof","analysts_covering_asof","turnover_6m_avg_daily_volume","volatility_6m","open_time_days","log_volume","log_volume_per_analyst","eps_stddev","surprise","log_market_cap","analysts","log_turnover","log_volatility_6m","firm_id","firm_market_number","prior_markets_for_firm","post_first_market"
"656874",9,0.155341666666667,0.04,27946.161223,1117.84644892,0.01912,0.08,66310429929.92,25,102482.046875,0.013712662017357,7.3662037037037,10.2380709071639,7.02005347719822,0.01912,0.08,24.9176130359424,25,11.5374526675397,0.0136194942203411,"MNST",1,0,0
"656996",8,0.0312525,0.149769,34539.466463,767.543699177778,0.03507,0.09,55234149674.99,45,78783.9296875,0.026075441078787,6.92787037037037,10.4498868566182,6.64449742431293,0.03507,0.09,24.7348472524747,45,11.2744770099353,0.0257412733619866,"DDOG",1,0,0
"657003",8,0.095128125,0.065025,16410.521313,586.090046892857,0.10043,0.02,56002223903.4,28,975283.390625,0.037431361295137,6.99032407407407,9.70573888624663,6.375178209925,0.10043,0.02,24.7486572394538,28,13.7904843901412,0.0367478131463736,"WBD",1,0,0
"657004",9,0.0402305555555556,0.0361,3023.047212,177.826306588235,0.0363,0.149999999999999,34689521284.88,17,2378167.390625,0.011167311666556,7.3580787037037,8.23764894232911,5.18641498048662,0.0363,0.149999999999999,24.2697034980312,17,14.681841165595,0.0116712063567068,"ED",1,0,0
"657005",8,0.559928125,0.308025,10568.869333,587.159407388889,0.01824,-0.02,15820508234.24,18,3186827.0390625,0.018369575826851,6.87259259259259,9.26576271672543,6.3769980121589,0.01824,-0.02,23.484572924828,18,14.9745366349505,0.0182028933321406,"DD",1,0,0
"657007",9,0.0407555555555556,0.148225,5690.550738,153.798668594595,0.37274,0.54,26198677032.15,37,27203.2734375,0.020720160289059,7.35266203703704,8.64673802742289,5.18136494140678,0.334929,0.54,23.9889747514824,37,10.2111293516161,0.0205084176666262,"EXPE",1,0,0
"657012",9,0.0211716944444444,0.01677025,26425.916232,1390.83769642105,0.22755,0.339999999999999,31728763253.5,19,70969.2421875,0.048147874085816,7.33631944444444,10.1821383239844,7.23838023669769,0.22755,0.339999999999999,24.1804894645837,19,11.1700159440467,0.0470246771719323,"SNDK",1,0,0
"657013",8,0.014825,0.0121,10784.136672,539.2068336,0.07818,0.339999999999999,18755549112.82,20,665808.1171875,0.018184896695816,6.95328703703704,9.28592423115835,6.29195209140808,0.07818,0.339999999999999,23.6547554982612,20,13.4087582976122,0.018021529038641,"RL",1,0,0
"657018",8,0.078490625,0.013225,7213.721704,379.669563368421,0.01934,0.04,16361670226.68,19,640425.03125,0.012954017110842,6.91259259259259,8.88387889859989,5.94193171106816,0.01934,0.04,23.5182072550053,19,13.3698889077014,0.0128708314532835,"USFD",1,0,0
"657027",9,0.347908333333333,0.5184,34995.802616,1093.61883175,0.13088,-0.27,13897808423.36,32,244776.09375,0.027470553798599,7.32768518518519,10.46301198247,6.99816148279168,0.13088,-0.27,23.3549969972681,32,12.4081032539596,0.027100008874048,"DKNG",1,0,0
"657064",9,0.238316666666667,0.308025,4938.973007,493.8973007,0.00652,-0.009999999999999,5587672813.17,10,3132729.90625,0.119693553878553,7.29837962962963,8.505115145997,6.20435026770979,0.00652,-0.009999999999999,22.4438287249394,10,14.9574156761243,0.0521584717253257,"OPEN",1,0,0
