"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3"
"OLS","Mean loss | Ex-ante","(Intercept)",0.490418073026759,0.16301349164697,3.0084508225174,0.0027237073676067,0.168109839189678,0.806635497716586,"***","Constant","Mean loss across selected horizons","Ex-ante",0.168109839189678,0.806635497716586,25000,25000,0.170342729212778,0.810493416840739
"Fractional logit","Loss at 6h | Ex-ante","analysts",-0.000777568753472871,0.00817175711425324,-0.0951531895284344,0.924193150557203,-0.0169132496583618,0.0151746177188983,"","Analysts covering","Loss at 6h","Ex-ante",-0.0169132496583618,0.0151746177188983,25000,25000,-0.0167939183878182,0.0152387808808724
"Fractional logit","Loss at 6h | Ex-ante","log_turnover",0.0409450965864309,0.0293455695119129,1.39527353762241,0.162933368744047,-0.0146500068705228,0.0996079307124469,"","log(6m avg. daily turnover + 1)","Loss at 6h","Ex-ante",-0.0146500068705228,0.0996079307124469,25000,25000,-0.016571162762735,0.0984613559355969
"Fractional logit","Loss at 6h | Ex-ante","log_volatility_6m",-6.3777646160751,7.29099546171255,-0.874745382789891,0.381712460906678,-21.1028733041437,7.3747849361484,"","log(6m stock volatility)","Loss at 6h","Ex-ante",-21.1028733041437,7.3747849361484,25000,25000,-20.6678531324767,7.91232390032647
"Fractional logit","Loss at 6h | Ex-ante","open_time_days",-0.00348775466804492,0.016976425609842,-0.20544693848998,0.837222950704995,-0.0374137233452627,0.028565543818182,"","Market open-to-resolution (days)","Loss at 6h","Ex-ante",-0.0374137233452627,0.028565543818182,25000,25000,-0.0367609374495586,0.0297854281134688
"Fractional logit","Loss at 6h | Ex-ante","post_first_market",-0.0178447538303347,0.144498971495111,-0.12349398508306,0.901715937042498,-0.29931744662938,0.262755198019658,"","After first firm market","Loss at 6h","Ex-ante",-0.29931744662938,0.262755198019658,25000,25000,-0.301057533763832,0.265368026103162
"Fractional logit","Loss at 6h | Full","(Intercept)",-0.684408615843576,1.42732525546907,-0.479504312854505,0.631579900760771,-3.50110250511753,2.05442611328952,"","Constant","Loss at 6h","Full",-3.50110250511753,2.05442611328952,25000,25000,-3.48191471078738,2.11309747910023
"Fractional logit","Loss at 6h | Full","log_volume",-0.0944829778217537,0.249752577912936,-0.378306316640666,0.705203053513359,-0.54630696930878,0.416118312111047,"","log(Polymarket volume + 1)","Loss at 6h","Full",-0.54630696930878,0.416118312111047,25000,25000,-0.583989035577142,0.395023079933634
"Fractional logit","Loss at 6h | Full","log_volume_per_analyst",0.148849647584924,0.220768655986947,0.674233608568621,0.500162805678361,-0.308255200433852,0.541603054110107,"","log(Polymarket volume / analysts + 1)","Loss at 6h","Full",-0.308255200433852,0.541603054110107,25000,25000,-0.283848967064806,0.581548262234654
"Fractional logit","Loss at 6h | Full","eps_stddev",1.91001781249023,0.857533956002841,2.22733782040918,0.0259247046751847,0.217928621539399,3.54935625804142,"**","Std. dev. of analyst estimates","Loss at 6h","Full",0.217928621539399,3.54935625804142,25000,25000,0.229282143204509,3.59075348177596
"Fractional logit","Loss at 6h | Full","surprise",-2.29354663081248,0.387904488694861,-5.91265813532943,0.0000000033663039657596,-3.11588633967777,-1.60442867274579,"***","Earnings surprise","Loss at 6h","Full",-3.11588633967777,-1.60442867274579,25000,25000,-3.05382545809583,-1.53326780352912
